"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"1",1,"08/25/2014",140216421,"08/23/2014",600,2,"Rampart",204,480,"BIKE - STOLEN","IC","Invest Cont","  400      N  HOOVER                       ST","","(34.0779, -118.2844)","34.0779, -118.2844",34.0779,-118.2844,2014-08-23,"August","#FFFFB3",34.0779,-118.2844,"#1F78B4"
"2",2,"08/23/2014",140413279,"08/23/2014",1300,4,"Hollenbeck",464,480,"BIKE - STOLEN","IC","Invest Cont","              CESAR E CHAVEZ               AV","   CHICAGO","(34.0483, -118.2111)","34.0483, -118.2111",34.0483,-118.2111,2014-08-23,"August","#FFFFB3",34.0483,-118.2111,"#1F78B4"
"3",3,"03/02/2014",141706684,"02/28/2014",1200,17,"Devonshire",1781,480,"BIKE - STOLEN","IC","Invest Cont"," 9100         DE SOTO                      AV","","(34.2355, -118.5885)","34.2355, -118.5885",34.2355,-118.5885,2014-02-28,"February","#FB8072",34.2355,-118.5885,"#33A02C"
"4",4,"08/22/2014",140119630,"08/22/2014",1200,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","  500      W  6TH                          ST","","(34.0481, -118.2542)","34.0481, -118.2542",34.0481,-118.2542,2014-08-22,"August","#FFFFB3",34.0481,-118.2542,"#1F78B4"
"5",5,"08/25/2014",140119820,"08/22/2014",1200,1,"Central",182,480,"BIKE - STOLEN","IC","Invest Cont"," 1100      S  GRAND                        AV","","(34.0416, -118.262)","34.0416, -118.262",34.0416,-118.262,2014-08-22,"August","#FFFFB3",34.0416,-118.262,"#1F78B4"
"6",6,"04/29/2014",140111547,"02/27/2014",1200,1,"Central",128,480,"BIKE - STOLEN","IC","Invest Cont","  300      E  2ND                          ST","","(34.0493, -118.2418)","34.0493, -118.2418",34.0493,-118.2418,2014-02-27,"February","#FB8072",34.0493,-118.2418,"#33A02C"
"7",7,"02/28/2014",141207571,"02/27/2014",2100,12,"77th Street",1255,480,"BIKE - STOLEN","IC","Invest Cont"," 7800      S  NORMANDIE                    AV","","(33.9692, -118.3003)","33.9692, -118.3003",33.9692,-118.3003,2014-02-27,"February","#FB8072",33.9692,-118.3003,"#33A02C"
"8",8,"08/21/2014",140413213,"08/21/2014",1745,4,"Hollenbeck",463,480,"BIKE - STOLEN","IC","Invest Cont","              CESAR E CHAVEZ               AV","   SOTO                         ST","(34.05, -118.2149)","34.05, -118.2149",34.05,-118.2149,2014-08-21,"August","#FFFFB3",34.05,-118.2149,"#1F78B4"
"9",9,"08/21/2014",140915055,"08/21/2014",900,9,"Van Nuys",915,480,"BIKE - STOLEN","IC","Invest Cont"," 6800         VAN NUYS                     BL","","(34.1939, -118.4487)","34.1939, -118.4487",34.1939,-118.4487,2014-08-21,"August","#FFFFB3",34.1939,-118.4487,"#1F78B4"
"10",10,"08/21/2014",141115402,"08/21/2014",600,11,"Northeast",1151,480,"BIKE - STOLEN","IC","Invest Cont","              VERMONT","   HOLLYWOOD","(34.1012, -118.2918)","34.1012, -118.2918",34.1012,-118.2918,2014-08-21,"August","#FFFFB3",34.1012,-118.2918,"#1F78B4"
