"","indegree","outdegree","eigen","isgg","mengg","decgg","ggtot","broadgg"
"1",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"2",293,6,1,0,1,0,1,TRUE
"3",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"4",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"5",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"6",0,1,4.76217882540983e-19,1,1,1,3,TRUE
"7",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"8",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"9",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"10",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"11",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"12",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"13",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"14",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"15",24,5,0.25714501291198,0,0,1,1,TRUE
"16",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"17",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"18",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"19",24,1,0.138546961415024,0,0,0,0,FALSE
"20",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"21",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"22",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"23",36,5,0.322257724611809,0,0,0,0,FALSE
"24",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"25",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"26",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"27",29,1,0.164066483484904,0,0,0,0,FALSE
"28",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"29",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"30",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"31",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"32",51,4,0.343646864832765,1,1,0,2,TRUE
"33",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"34",7,1,0.095211439853723,0,0,0,0,FALSE
"35",1,1,1.29569218840896e-19,0,0,0,0,FALSE
"36",0,1,4.76217882540983e-19,0,0,0,0,FALSE
